id,hypothesis,source_concept,market,horizon,conditioning,status,next_test
H001,"Volume-confirmed breakouts with strong relative strength have positive after-cost continuation expectancy","Murphy; O'Neil; Grimes","NSE large-cap equities","30m/60m/120m","breakout + volume expansion + top relative-strength rank","RESEARCH","stock x horizon x regime edge map"
H002,"Multi-horizon agreement improves selective trade quality","Murphy; Lien","NSE large-cap equities","5m/10m/30m/60m/120m","agreement count + forecast dispersion","RESEARCH","compare agreement buckets after costs"
H003,"Cross-sectional relative-strength ranking is more useful than absolute direction prediction","O'Neil; project evidence","10-stock NSE universe","60m/120m","relative rank","RESEARCH","extend v16/v18 ranking study by stock and regime"
H004,"High turnover destroys small gross intraday edges","Harris; project v22","10-stock NSE universe","intraday","frequent rotation","KEEP","continue cost/turnover sensitivity checks"
H005,"Abstention when no robust positive-after-cost gate exists protects capital","Douglas; de Prado selective prediction; project v24","10-stock NSE universe","intraday","robust two-block gate","KEEP","month walk-forward v24.2 and longer forward paper test"
H006,"Pullbacks in established uptrends outperform generic pullbacks","Murphy; Grimes","NSE large-cap equities","30m/60m/120m","positive trend + controlled pullback + renewed confirmation","RESEARCH","regime-conditioned pullback study"
H007,"Mean reversion is profitable primarily in sideways/compressed regimes","Kaufman; Grimes","NSE large-cap equities","10m/30m/60m","range regime + VWAP/EMA extension","RESEARCH","range-only reversal audit"
H008,"Breakout performance improves with abnormal volume and market breadth confirmation","Murphy; O'Neil","NSE large-cap equities","30m/60m","volume z-score + breadth","RESEARCH","breakout confirmation audit"
H009,"Time-of-day materially changes signal expectancy","Lien; market microstructure","NSE large-cap equities","intraday","session bucket","RESEARCH","learn session-specific edge rather than fixed quotas"
H010,"Predicted-return magnitude must be calibrated before using it as a profit hurdle","de Prado; Chan; project v23.1","NSE large-cap equities","all","predicted vs realised return calibration","KEEP","predicted-return decile reliability curves"
H011,"Stock-specific and horizon-specific gates can outperform one global gate","project v24 conclusion","10-stock NSE universe","all","stock x horizon x regime","RESEARCH","v25 edge mapper"
H012,"Volume contraction during pullback followed by expansion on continuation improves signal quality","Murphy; O'Neil; Grimes","NSE large-cap equities","30m/60m","trend + pullback + volume pattern","RESEARCH","feature attribution test"
H013,"Execution spread/slippage can materially reduce apparent bar-based profitability","Harris; Chan","NSE large-cap equities","intraday","liquidity/execution","RESEARCH","add slippage stress scenarios"
H014,"Complex ML should not replace simpler rank models unless after-cost walk-forward performance improves","Aronson; de Prado; project evidence","10-stock NSE universe","all","model complexity","KEEP","benchmark each new model against frozen simple baseline"
